train epoch ,resampling ,running value loss ,running policy loss ,running p diff 
13,10,0.55446,1.88342,0.25698
13,20,0.56368,1.91215,0.25652
13,30,0.56473,1.93442,0.25589
13,40,0.5587,1.93406,0.25551
13,50,0.54606,1.91393,0.25509
13,60,0.52655,1.86988,0.25418
13,70,0.50636,1.83085,0.25346
13,80,0.49343,1.80047,0.25281
13,90,0.48462,1.79747,0.2525
13,100,0.48388,1.8119,0.25288
13,110,0.49579,1.84257,0.25344
13,120,0.50187,1.86746,0.25435
13,130,0.50166,1.87526,0.25505
13,140,0.50412,1.86195,0.25559
13,150,0.51503,1.84227,0.25549
13,160,0.52894,1.81635,0.25609
13,170,0.56069,1.80315,0.25604
13,180,0.59758,1.80293,0.25662
13,190,0.61717,1.80984,0.25651
14,0,0.60875,1.81876,0.25644
14,10,0.582,1.84347,0.25606
14,20,0.55215,1.85601,0.25636
14,30,0.53707,1.86263,0.25576
14,40,0.54808,1.85655,0.25564
14,50,0.58795,1.84623,0.25623
14,60,0.63672,1.81389,0.25702
14,70,0.66745,1.78878,0.25714
14,80,0.66164,1.76798,0.25854
14,90,0.63135,1.76336,0.26008
14,100,0.58388,1.7659,0.26097
14,110,0.54778,1.78015,0.26156
14,120,0.54043,1.79136,0.26316
14,130,0.56697,1.80722,0.2638
14,140,0.612,1.81708,0.26435
14,150,0.66124,1.82156,0.26458
14,160,0.69965,1.81884,0.26436
14,170,0.71019,1.81374,0.26335
14,180,0.69871,1.80088,0.26231
14,190,0.67206,1.78587,0.2607
15,0,0.62916,1.77339,0.25998
15,10,0.58217,1.77405,0.25889
15,20,0.55296,1.78504,0.25791
15,30,0.55596,1.80309,0.25675
15,40,0.57754,1.83706,0.25599
15,50,0.61945,1.86799,0.25528
15,60,0.66914,1.88757,0.255
15,70,0.71353,1.89094,0.25478
15,80,0.72459,1.8833,0.25474
15,90,0.7057,1.85858,0.25514
15,100,0.66529,1.83832,0.2553
15,110,0.61237,1.8184,0.25551
15,120,0.56544,1.81453,0.25588
15,130,0.54462,1.82791,0.25627
15,140,0.55161,1.85145,0.25724
15,150,0.5827,1.87515,0.25764
15,160,0.62283,1.89977,0.25817
15,170,0.65476,1.91292,0.25906
15,180,0.65782,1.91235,0.2603
15,190,0.64552,1.8951,0.26039
16,0,0.61377,1.87112,0.26077
16,10,0.57631,1.84497,0.26189
16,20,0.55335,1.82111,0.26253
16,30,0.56681,1.80046,0.26227
16,40,0.5961,1.79004,0.262
16,50,0.63986,1.78504,0.26163
16,60,0.68966,1.78504,0.26039
16,70,0.71696,1.79454,0.25838
16,80,0.70826,1.81717,0.25624
16,90,0.67618,1.85499,0.25382
16,100,0.62984,1.90772,0.25168
16,110,0.5848,1.96602,0.2501
16,120,0.54729,2.01866,0.24918
16,130,0.52678,2.04562,0.24859
16,140,0.52852,2.03913,0.24899
16,150,0.54626,1.99701,0.24981
16,160,0.56268,1.94695,0.25085
16,170,0.57959,1.91665,0.25295
16,180,0.58781,1.93362,0.25542
16,190,0.58038,2.0096,0.25785
17,0,0.56051,2.12482,0.25986
17,10,0.53867,2.25212,0.26123
17,20,0.51875,2.3313,0.26151
17,30,0.50531,2.32366,0.26159
17,40,0.51078,2.24023,0.26065
17,50,0.53286,2.14812,0.25941
17,60,0.55613,2.09461,0.25773
17,70,0.57872,2.13197,0.25639
17,80,0.59607,2.26154,0.25505
17,90,0.59899,2.42321,0.25383
17,100,0.58589,2.53807,0.25321
17,110,0.56581,2.55263,0.25297
17,120,0.54163,2.45139,0.25208
17,130,0.52071,2.28653,0.25205
17,140,0.50896,2.13101,0.25298
17,150,0.51164,2.03734,0.25372
17,160,0.5279,2.02582,0.25494
17,170,0.54953,2.08465,0.25663
17,180,0.5712,2.17656,0.25801
17,190,0.57495,2.25855,0.25881
18,0,0.56398,2.31105,0.25958
18,10,0.54515,2.31181,0.25993
18,20,0.52626,2.28348,0.26065
18,30,0.51313,2.23102,0.2614
18,40,0.51429,2.16884,0.26175
18,50,0.52791,2.10186,0.26205
18,60,0.54784,2.04918,0.26184
18,70,0.56562,2.01969,0.26142
18,80,0.575,2.00936,0.26022
18,90,0.5703,2.02002,0.25947
18,100,0.55682,2.03865,0.25912
18,110,0.53556,2.0551,0.25887
18,120,0.5213,2.05263,0.25785
18,130,0.50949,2.0316,0.25822
18,140,0.51534,1.99039,0.25787
18,150,0.52766,1.94998,0.25803
18,160,0.54978,1.9159,0.25842
18,170,0.56957,1.88866,0.25988
18,180,0.58559,1.8767,0.26067
18,190,0.5884,1.88269,0.2616
19,0,0.58051,1.89355,0.26185
19,10,0.55703,1.90985,0.2628
19,20,0.52768,1.92851,0.26282
19,30,0.50104,1.95461,0.26317
19,40,0.49075,1.97274,0.26352
19,50,0.49637,1.97709,0.26359
19,60,0.52133,1.97054,0.26328
19,70,0.54238,1.95246,0.26329
19,80,0.56158,1.91938,0.26221
19,90,0.55666,1.88522,0.26113
19,100,0.53419,1.85797,0.26004
19,110,0.49964,1.83457,0.25832
19,120,0.47854,1.82695,0.25657
19,130,0.46754,1.83182,0.25494
19,140,0.47887,1.83985,0.25383
19,150,0.50119,1.85288,0.25273
19,160,0.53206,1.87158,0.25129
19,170,0.55022,1.88419,0.25072
19,180,0.56266,1.88399,0.25026
19,190,0.56253,1.88658,0.24949
20,0,0.55538,1.8768,0.2495
20,10,0.54224,1.8685,0.24988
20,20,0.53022,1.86673,0.24998
20,30,0.51406,1.88243,0.25085
20,40,0.50611,1.90409,0.25227
20,50,0.51014,1.93338,0.25314
20,60,0.52368,1.95383,0.2538
20,70,0.54368,1.96087,0.25375
20,80,0.57505,1.95684,0.25288
20,90,0.60463,1.94721,0.25079
20,100,0.62616,1.94208,0.24895
20,110,0.63108,1.94889,0.24745
20,120,0.62676,1.96618,0.24582
20,130,0.60353,1.98178,0.24464
20,140,0.5707,1.99581,0.24491
20,150,0.53982,2.00652,0.24538
20,160,0.51922,1.99693,0.24659
20,170,0.5136,1.99243,0.24864
20,180,0.53018,1.98918,0.25121
20,190,0.55793,1.97693,0.25346
21,0,0.58506,1.97495,0.25522
21,10,0.60862,2.0029,0.25495
21,20,0.62025,2.03005,0.25469
21,30,0.61856,2.05999,0.25337
21,40,0.60835,2.09234,0.25174
21,50,0.59559,2.10731,0.24988
21,60,0.5744,2.09999,0.24947
21,70,0.55584,2.09119,0.24785
21,80,0.54173,2.09047,0.24664
21,90,0.5359,2.08906,0.24498
21,100,0.53425,2.09183,0.2437
21,110,0.54583,2.09366,0.24221
21,120,0.56166,2.09547,0.24207
21,130,0.57667,2.08073,0.24189
21,140,0.58832,2.07495,0.24273
21,150,0.59654,2.06657,0.24393
21,160,0.59805,2.0643,0.24534
21,170,0.59165,2.06006,0.24667
21,180,0.58094,2.05386,0.24844
21,190,0.56217,2.04505,0.24971
22,0,0.54478,2.03424,0.2506
22,10,0.52682,2.0218,0.25075
22,20,0.51257,1.99555,0.25035
22,30,0.50526,1.98495,0.24951
22,40,0.50968,1.97794,0.24881
22,50,0.52239,1.97939,0.24808
22,60,0.54229,1.99,0.24827
22,70,0.55925,2.01481,0.24845
22,80,0.56738,2.03614,0.24859
